field,explanation
DNS.bidirectional_max_query_len,Bidirectional max query length in the session.
status,HTTP status code with equivalent explanation.
status_code,HTTP status code numeric equivalent.
request_host,HTTP requested host in the session.
request_type,HTTP request type.
request_uri,First HTTP request uri seen in the session.
request_uri_arr,List of HTTP request uris seen in the session.
user_agent,HTTP user_agent seen in the traffic.
first_http_post_body,First byte value of HTTP post body.
http_request.domain,Domain in the request.
http_request.risk,Request risk.
http_request.uri,Uri in the request.
bidirectional_http_request_count,Bidirectional HTTP request count.
bidirectional_get_request_count,Bidirectional HTTP GET request count.
bidirectional_get_request_bytes,Bidirectional HTTP request bytes sum.
bidirectional_post_request_count,Bidirectional HTTP POST request count.
bidirectional_post_request_bytes,Bidirectional HTTP POST request bytes count.
src2dst_get_request_bytes,Source->Destination HTTP GET request bytes count.
src2dst_post_request_bytes,Source->Destination HTTP POST request bytes count.
dst2src_get_request_bytes,Destination->Source HTTP GET request bytes count.
dst2src_post_request_bytes,Destination->Source HTTP POST request bytes count.
HTTP.reversed,If reversed sets to true
ja3_client,Client sides ja3 fingerprint.
ja3_server,Server sides ja3 fingerprint.
mail_sender,SMTP mail sender information.
mail_recipient,SMTP mail recipient information.
file_transport,If Secure Copy Protocol detected sets true.
ntlmssp_auth_seen,If NTLMSSP Auth seen sets to true.
LdapUserInfo.user_name,Active Directory username.
LdapUserInfo.title_name,Active Directory title name.
LdapUserInfo.adr_name,Active Directory address name.
LdapUserInfo.is_success,Active Directory connection is succeeded.
ICMP.icmp_type_code,First seen ICMP type code in the session.
ICMP.icmp_type,First seen ICMP type in the session.
ICMP.icmp_type_codes,List of seen ICMP type codes count in the session.
ICMP.icmp_type_status,List of seen ICMP type statuses count in the session.
SMB2Status.smb2message_id,SMB2 Protocol message id.
SMB2Status.smb2file_message_id,SMB2 Protocol file message id.
SMB2Status.Delete,"{'success': 'SMB2 Protocol file delete if succeeded sets to true.', 'fail': 'SMB2 Protocol file delete if failed sets to true.', 'unknown': 'SMB2 Protocol file delete if unknown sets to true.', 'deleted_file_name': 'SMB2 Protocol deleted file name.'}"
SMB2Status.Read,"{'success': 'SMB2 Protocol file read if succeeded sets to true.', 'fail': 'SMB2 Protocol file read if failed sets to true.', 'unknown': 'SMB2 Protocol file read if unknown sets to true.'}"
SMB2Status.Write,"{'success': 'SMB2 Protocol file write if succeeded sets to true.', 'fail': 'SMB2 Protocol file write if failed sets to true.', 'unknown': 'SMB2 Protocol file write if unknown sets to true.'}"
SMB2Status.access_denied,SMB2 Protocol if access denied sets to true.
SMB2Status.File,"{'first_name': 'SMB2 Protocol first file name in the session.', 'last_name': 'SMB2 Protocol first file name in the session.', 'move': 'SMB2 Protocol sets true if file moved.', 'rename': 'SMB2 Protocol sets true if file renamed.', 'mim_type': 'SMB2 Protocol file mim type.'}"
Flow_Risks.risk,Risk explanation for session.
Flow_Risks.risk_severity,Risk severity for session.
Flow_Risks.risk_score_total,Risk score for session.
Flow_Risks.risk_score_client,Client risk score for session.
Flow_Risks.risk_score_server,Server risk score for session.
Kerberos.auth_service_status,Kerberos protocol auth service status.
Kerberos.tag_status,Kerberos protocol tag status.
Kerberos.client_type,Kerberos protocol client type.
imap_server_side_using_capability,"IMAP protocol server side labeling using capability flag. (src, dst)"
direction,"Direction of the session. (INTERNAL2INTERNAL, INTERNAL2EXTERNAL, EXTERNAL2INTERNAL, EXTERNAL2EXTERNAL)"
location_id,Location ID for the device which collected the mirrored data
bidirectional_first_seen_ms_ts,Bidirectional first seen time.
bidirectional_last_seen_ms_ts,Bidirectional last seen time.
sourceCountry.Latitude,Latitude information for source country.
sourceCountry.Longitude,Longitude information for source country.
sourceCountry.CityName,City name of the source country.
sourceCountry.SubdivisionName,Subdivision name of the source country
sourceCountry.CountryNames,Country names of the source country.
sourceCountry.IsoCode,ISO Code of source country.
destinationCountry.Latitude,Latitude information for destination country.
destinationCountry.Longitude,Longitude information for destination country.
destinationCountry.CityName,City name of the destination country.
destinationCountry.SubdivisionName,Subdivision name of the destination country
destinationCountry.CountryNames,Country names of the destination country.
destinationCountry.IsoCode,ISO Code of destination country.
sourceGeoPoint.lat,Source geological point latitude.
sourceGeoPoint.lon,Source geological point longitude.
destinationGeoPoint.lat,Destination geological point latitude.
destinationGeoPoint.lon,Destination geological point longitude.
src_asn.AsnCode,Source ASN code.
src_asn.AsnOrganizationName,Source ASN Organization name.
dst_asn.AsnCode,Destination ASN code.
dst_asn.AsnOrganizationName,Destination ASN Organization name.
nbns_conflict_count,NetBIOS Name Service Protocol conflict count.
source_type,"Type of source. (INTERNAL, EXTERNAL)"
destination_type,"Type of destination. (INTERNAL, EXTERNAL)"
session_id,"Calculated session id with five tuple. (src_ip, dst_ip, src_port, dst_port, protocol)"
session_id_from_time,"Calculated session id with five tuple addition timestamp. (src_ip, dst_ip, src_port, dst_port, protocol, timestamp)"
protocol_name,Network layer's protocol name.
source_asset_type,User defined source asset type.
destination_asset_type,User defined destination asset type.
